Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ 
Atlanta Hawks,NBA,1949-50,2023-24,75,5860,2894,2966,0.494,49,12,0,1
Boston Celtics,NBA/BAA,1946-47,2023-24,78,6036,3574,2462,0.592,60,33,10,17
Brooklyn Nets,NBA/ABA,1967-68,2023-24,57,4534,1998,2536,0.441,31,5,2,2
Charlotte Hornets,NBA,1988-89,2023-24,34,2635,1154,1481,0.438,10,0,0,0
Chicago Bulls,NBA,1966-67,2023-24,58,4603,2346,2257,0.51,37,9,6,6
Cleveland Cavaliers,NBA,1970-71,2023-24,54,4276,1986,2290,0.464,23,7,5,1
Dallas Mavericks,NBA,1980-81,2023-24,44,3465,1751,1714,0.505,24,4,2,1
Denver Nuggets,NBA/ABA,1967-68,2023-24,57,4536,2314,2222,0.51,38,13,1,1
Detroit Pistons,NBA/BAA,1948-49,2023-24,76,5922,2815,3107,0.475,42,11,5,3
Golden State Warriors,NBA/BAA,1946-47,2023-24,78,6026,2927,3099,0.486,37,12,7,7
Houston Rockets,NBA,1967-68,2023-24,57,4528,2329,2199,0.514,34,8,4,2
Indiana Pacers,NBA/ABA,1967-68,2023-24,57,4534,2312,2222,0.51,36,9,1,3
Los Angeles Clippers,NBA,1970-71,2023-24,54,4283,1795,2488,0.419,17,2,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2023-24,76,5927,3506,2421,0.592,63,33,19,17
Memphis Grizzlies,NBA,1995-96,2023-24,29,2234,971,1263,0.435,13,2,0,0
Miami Heat,NBA,1988-89,2023-24,36,2808,1476,1332,0.526,24,16,7,3
Milwaukee Bucks,NBA,1968-69,2023-24,56,4447,2342,2105,0.527,35,18,3,2
Minnesota Timberwolves,NBA,1989-90,2023-24,35,2716,1093,1623,0.402,11,1,0,0
New Orleans Pelicans,NBA,2002-03,2023-24,22,1691,786,905,0.465,9,1,0,0
New York Knicks,NBA/BAA,1946-47,2023-24,78,6028,2926,3102,0.485,44,8,4,2
Oklahoma City Thunder,NBA,1967-68,2023-24,57,4529,2416,2113,0.533,33,11,4,1
Orlando Magic,NBA,1989-90,2023-24,35,2726,1271,1455,0.466,16,6,2,0
Philadelphia 76ers,NBA,1949-50,2023-24,75,5863,3057,2806,0.521,53,12,5,3
Phoenix Suns,NBA,1968-69,2023-24,56,4448,2382,2066,0.536,32,8,3,0
Portland Trail Blazers,NBA,1970-71,2023-24,54,4285,2273,2012,0.53,37,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2023-24,76,5927,2704,3223,0.456,30,6,0,1
San Antonio Spurs,NBA/ABA,1967-68,2023-24,57,4534,2664,1870,0.588,47,22,6,5
Toronto Raptors,NBA,1995-96,2023-24,29,2234,1073,1161,0.48,14,7,1,1
Utah Jazz,NBA,1974-75,2023-24,50,3956,2148,1808,0.543,31,11,2,0
Washington Wizards,NBA,1961-62,2023-24,63,5009,2258,2751,0.451,30,8,4,1
